*サーバー使用中,,,,,,,,,,
,アップグレードに必要な情報,,,,,,,,,
,建物ID,建物ID,建物レベル,レベルアップ時間,必要な資源<br>[{X「；」Y}]：X…obj_define_id、Y…必要な数<br><br>例：[{3「；」10}「；」{4「；」20}]<br>⇛資源1が10と資源2が20必要。,戦力（※累計）<br>对应当前等级的总战力，<br>并不是升级到当前等级的提升战力，<br>这个跟研究那里的战力不一样...,,建筑升级前置条件<br>[{建筑1ID，建筑1等级}「；」{建筑2ID，建筑2等级}「；」....],建筑升级BUFF效果<br>[{slg_buff1ID，slg_buff1效果}「；」{slg_buff2ID，slg_buff2效果}「；」....],アップグレード条件（研究項目指定用）<br>[{グループID，研究レベル}「；」{グループID，研究レベル}「；」....]<br>※[TABLE]building_academy_setting_new > [column]n_group_id「；」[column]n_level
,[TABLE],building_upgrade,,,,,,,,
,[ATTRIBUTE],n_base_mana_capacity,0,,,,,,,
,n_id,n_type,n_level,n_time,s_required_resources,n_power,#建物名,s_upgrade_requirements,#s_upgrade_effect,#s_upgrade_researches
,1001,1,1,0,,50,拠点,,,
,1002,1,2,15,[{3「；」10}],100,拠点,[{2「；」1}],,
,1003,1,3,60,[{3「；」20}],150,拠点,[{2「；」2}],,
,1004,1,4,90,[{3「；」30}「；」{4「；」10}「；」],200,拠点,[{2「；」3}],,
,1005,1,5,120,[{3「；」40}「；」{4「；」20}「；」],250,拠点,,,
,2001,2,1,3,[{3「；」5}],5,資源①,,,
,2002,2,2,15,[{3「；」10}],10,資源①,[{1「；」2}],,
,2003,2,3,60,[{3「；」20}],15,資源①,[{1「；」3}],,
,2004,2,4,90,[{3「；」30}「；」{4「；」10}「；」],20,資源①,[{1「；」4}],,
,2005,2,5,120,[{3「；」40}「；」{4「；」20}「；」],25,資源①,[{1「；」5}],,
,3001,3,1,3,[{3「；」5}],5178,資源②,,,
,3002,3,2,15,[{3「；」10}],6845,資源②,[{1「；」2}],,
,3003,3,3,60,[{3「；」20}],8753,資源②,[{1「；」3}],,
,3004,3,4,90,[{3「；」30}「；」{4「；」10}「；」],11139,資源②,[{1「；」4}],,
,3005,3,5,120,[{3「；」40}「；」{4「；」20}「；」],14091,資源②,[{1「；」5}],,
,4001,4,1,3,[{3「；」5}],18235,ミニオン研究所,,,
,4002,4,2,15,[{3「；」10}],23419,ミニオン研究所,[{1「；」2}],,
,4003,4,3,60,[{3「；」20}],29867,ミニオン研究所,[{1「；」3}],,
,4004,4,4,90,[{3「；」30}「；」{4「；」10}「；」],37803,ミニオン研究所,[{1「；」4}],,
,4005,4,5,120,[{3「；」40}「；」{4「；」20}「；」],47631,ミニオン研究所,[{1「；」5}],,
,5001,5,1,3,[{3「；」5}],18235,研究,,,
,5002,5,2,15,[{3「；」10}],23419,研究,[{1「；」2}],,
,5003,5,3,60,[{3「；」20}],29867,研究,[{1「；」3}],,
,5004,5,4,90,[{3「；」30}「；」{4「；」10}「；」],37803,研究,[{1「；」4}],,
,5005,5,5,120,[{3「；」40}「；」{4「；」20}「；」],47631,研究,[{1「；」5}],,
